Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jordan,JOR,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,10290.00
Jordan,JOR,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,10365.00
Jordan,JOR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,10218.00
Jordan,JOR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,10070.00
Jordan,JOR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,10659.60
Jordan,JOR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,10563.00
Jordan,JOR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,10640.00
Jordan,JOR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,10566.00
Jordan,JOR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,10449.00
Jordan,JOR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,10026.00
Jordan,JOR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,10023.00
Jordan,JOR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,10250.00
Jordan,JOR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,9725.00
Jordan,JOR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,9633.00
Jordan,JOR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,10180.00
Jordan,JOR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,10130.00
Jordan,JOR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,10370.00
Jordan,JOR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,10050.00
Jordan,JOR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,10250.00
Jordan,JOR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,10220.00
Jordan,JOR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,10690.00
Jordan,JOR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,10670.00
Jordan,JOR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,10660.00
Jordan,JOR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,10610.00
Jordan,JOR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,10510.00
Jordan,JOR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,11140.00
Jordan,JOR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,10720.00
Jordan,JOR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,10900.00
Jordan,JOR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,11207.00
Jordan,JOR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,10104.00
Jordan,JOR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,10402.00
Jordan,JOR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,11498.00
Jordan,JOR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,11650.00
Jordan,JOR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,11560.00
Jordan,JOR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,11258.00
Jordan,JOR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,11178.00
Jordan,JOR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,10501.00
Jordan,JOR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,11380.00
Jordan,JOR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,11241.00
Jordan,JOR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,11176.00
Jordan,JOR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,11270.00
Jordan,JOR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,11250.00
Jordan,JOR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,11220.00
Jordan,JOR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,11180.00
Jordan,JOR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,11170.00
Jordan,JOR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,11150.00
