Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.91,3.56,7.99,4.93,16.2,0.09,0.07,0.07,0.03,2.61,10.35,22.8
1902,38.02,10.77,13.56,12.99,1.82,0.09,0.07,0.07,0.03,4.57,27.11,24.72
1903,26.5,21.47,19.78,3.98,1.15,0.1,0.07,0.07,0.03,1.99,9.87,14.66
1904,33.7,15.5,22.84,11.68,2.9,0.1,0.07,0.07,0.03,5.82,20.85,48.28
1905,20.72,26.72,33.62,12.97,3.26,0.13,0.07,0.07,0.08,5.22,4.31,44.39
1906,26.3,26.41,16.74,27.53,16.13,0.21,0.07,0.07,0.03,5.33,7.77,8.11
1907,56.23,27.75,22.99,6.3,1.05,0.1,0.07,0.07,0.08,2.07,14.45,14.64
1908,30.47,27.79,28.07,12.44,2.71,0.36,0.07,0.07,0.02,1.07,14,20.77
1909,22.9,11.13,9.35,35.94,11.05,0.09,0.07,0.07,0.23,10.73,10.93,13.18
1910,24.76,10.42,31.98,11.67,4.48,0.11,0.07,0.07,0.09,4.42,10.59,10.87
1911,37.35,40.12,26.79,23.91,3.33,0.09,0.07,0.07,0.06,6.18,12.94,43.58
1912,36.59,18.4,17.38,9.37,9.15,0.06,0.07,0.07,0.02,12.6,10.39,28.86
1913,29.33,29.8,12.96,10.26,3.78,0.13,0.07,0.07,0.09,10.07,10.49,26.64
1914,18.26,9.78,15.21,25.21,4.28,0.21,0.07,0.07,0.03,2.24,34.17,18.18
1915,11.12,17.23,20.5,13.55,1.36,0.09,0.07,0.07,0.12,1.95,11.53,9.57
1916,33.26,24.33,32.01,16.53,1.1,0.09,0.07,0.07,0.15,1.74,8.01,24.54
1917,44.35,26.69,12.47,3.36,1.67,0.09,0.07,0.07,0.68,2.81,7.51,25.45
1918,26.8,28.2,33.12,7.28,13.08,0.11,0.07,0.07,0.8,12.81,11.37,29.05
1919,21.81,30.91,17.5,11.98,2.44,0.12,0.07,0.07,0.03,1.97,12.08,35.89
1920,35.12,44.05,21.26,9.32,3.01,0.09,0.07,0.09,0.03,2.44,15.65,16.09
1921,29.84,31.68,17.41,5.48,5.69,0.39,0.07,0.08,0.05,1.49,7.7,30.43
1922,30.14,33.06,13.44,4.11,2.23,0.04,0.07,0.07,0.02,1.31,9.4,22.06
1923,16.91,31.47,9.37,11.26,4.02,0.04,0.07,0.07,0.23,10.08,3.68,20.14
1924,19.07,44.99,18.34,1.61,3.44,0.11,0.07,0.07,0.02,7.21,23.14,16.73
1925,10.33,9.98,6.01,26.63,1.19,1.06,0.07,0.07,0.09,1.62,18.35,13.57
1926,26.34,28.1,24.72,8.89,2.32,0.03,0.07,0.07,0.02,1.09,5.27,21.06
1927,16.15,57.25,6.09,19.55,2,0.03,0.07,0.07,0.02,5.15,9.18,9.44
1928,16.41,45.19,4.82,1.47,0.77,0.03,0.07,0.07,0.01,1.25,12.19,22.05
1929,25.07,26.4,7.81,19.74,1.08,0.13,0.07,0.07,0.03,1.1,26.62,18.1
1930,29.77,18.73,3.25,12.23,1.02,0.02,0.07,0.07,0.62,1.03,9.69,18.18
1931,32.82,23.48,14.13,6.99,1.3,0.16,0.07,0.07,0.37,1.52,10.57,31.7
1932,19.32,28.55,5.19,6.19,0.87,0.02,0.07,0.07,0.02,4.42,6.18,2.02
1933,21.92,13.19,13.71,11.77,0.97,0.02,0.07,0.07,0.47,1.63,4.93,7.47
1934,44.28,26.43,4.53,5.3,2.32,0.03,0.07,0.07,0.01,2.12,1.99,26.17
1935,24.87,47.76,4.99,8.55,2.34,0.02,0.07,0.07,0.16,11.61,11.78,5.49
1936,13.62,25.3,8.53,4.4,1.62,0.02,0.07,0.07,0.07,1.38,33.89,28.39
1937,39.44,13.85,6.54,18.24,3.26,0.06,0.07,0.07,0,11,16.61,7.1
1938,46.9,35.87,20.51,4.04,11.34,0.02,0.07,0,0.07,0.54,34.56,19.28
1939,12.06,36.61,31.03,8.24,0.32,0.13,0.07,0,0,3.34,40.86,12.68
1940,36.61,6.12,14.97,18.76,0.6,0.02,0.07,0,0.02,6.54,14.7,19.3
1941,17.39,13.35,29.3,3.79,0.4,0.02,0.07,0,0.02,1.49,6.2,49.7
1942,23.13,26.46,39.74,1.43,0.47,0.04,0.07,0,0.11,14.72,14.25,13.69
1943,28.92,25.81,43.24,22.58,1.53,0.01,0.07,0,0,4.6,0.52,10.39
1944,55.8,9.45,18.82,7.13,11.9,0.01,0.07,0,0,0.16,53.12,43.29
1945,38.35,29.04,12.03,4.14,17.69,0.03,0.07,0,0.09,0.93,17.19,20.9
1946,13.89,35.39,12.29,1.49,11.7,0.02,0.07,0,0.12,1.33,2.02,10.21
1947,25.74,4.63,20.81,6.13,3.69,0.03,0.07,0,0.12,0.67,18.36,7.16
1948,26.38,25.71,32.18,11.42,3.32,0.02,0.07,0,0.01,1.93,8.95,18.79
1949,25.76,39.04,34.8,24.88,1.5,0.02,0.07,0,0.26,0.41,1.8,33.63
1950,28.53,27.18,16.06,7.05,14,0.09,0.07,0,0.04,4.49,8.2,6.87
1951,14.01,25.26,8.19,5.6,0.35,0.22,0.07,0,0.12,2.15,8.47,49.9
1952,26.13,32.4,17.07,2.54,0.41,0.02,0.07,0,0,3.81,7.74,7.5
1953,21.67,33.42,50.75,6.06,0.32,0.02,0.07,0,0.01,0.9,28.02,25.6
1954,11.95,41.05,11.51,15.91,0.41,0.02,0.07,0,0.05,1.33,20.88,37.52
1955,5.12,6.84,11.96,4.71,1.67,0.02,0.07,0,0,1.13,32.53,24
1956,25.02,8.8,23.89,9.59,1.91,0.02,0.07,0,0,0.55,3.51,18.55
1957,29.77,27.82,33.18,8.12,15.81,0.04,0.07,0,0.03,3.12,14.06,19.86
1958,33.14,5.98,2.08,4.35,1.97,0.11,0.07,0,0.02,1.2,1.39,3.75
1959,17.56,40.46,14.26,3.09,2.57,0.09,0.07,0,0.27,0.61,6.64,5.68
1960,12.24,2.36,16.62,2.9,0.42,0.01,0.07,0,0,0.68,18.78,8.16
1961,27.96,30.1,5.46,9.87,5.37,0.02,0.07,0,0.03,6.55,9.18,42
1962,17.59,15.73,1.76,7.27,1.34,0.01,0.07,0,0,2.47,0.4,8.46
1963,5.94,27.45,11.31,13.84,12.29,0.03,0.09,0,0.01,9.41,8.74,38.47
1964,24.06,32.2,14.52,8.38,0.99,0.04,0.07,0,0,0.05,16.88,22.32
1965,67.52,8.61,14.12,17.01,0.1,0.01,0.07,0.01,0.07,11.91,6.79,8.56
1966,18.69,16.53,34.61,0.3,0.64,0.01,0.07,0,0.17,13.07,12.45,34.35
1967,27.66,14.7,39.54,0.56,10,0.01,0.07,0,0.01,11.77,27.39,10.91
1968,36.04,14.02,6.98,14.93,11.42,0.01,0.07,0.01,0,4.22,19.29,21.32
1969,31.56,4.39,46.38,10.77,2.97,0.01,0.07,0,0.07,9.76,9.1,4.69
1970,25.26,7.72,26.51,6.83,0.07,0.01,0.07,0.04,0.11,0.9,6.9,15.44
1971,23.78,14.17,16.63,49.15,0.49,0.23,0.07,0.02,0.16,0.11,8.62,46.77
1972,12.19,24.51,31.31,19.47,2.86,0.2,0.08,0,0.02,2.85,19.98,4.41
1973,27.43,4.84,10.45,2.51,1.2,0.24,0.07,0,0,1.32,23.51,7.62
1974,73.2,36.71,22.07,12.16,0.02,0.01,0.07,0,0,0.06,15.35,16.93
1975,7.62,53.96,11.5,5.14,0.36,0.02,0.07,0,0.38,0.41,8.65,18.94
1976,7.95,19.37,33.6,7.95,8.19,0.55,0.07,0,0.02,4.35,8.11,2.73
1977,23.92,7.19,13.77,37.33,3.37,0.04,0.07,0,0.02,7.41,7.78,27.65
1978,13.17,13.67,19.51,3.43,0.14,0.85,0.07,0,0,2.43,1.3,17.5
1979,19.85,14.12,15.02,1.44,4.26,0.09,0.07,0,0.17,14.15,36.81,37.1
1980,24.45,36.36,25.18,7.22,0.24,0.01,0.07,0,0,4.01,2.09,63.09
1981,15.34,15.97,16.78,11.61,0.99,0.03,0.07,0.28,0.24,2.63,10.93,1.53
1982,24.67,29.09,18.05,10.27,15.65,0.01,0.07,0,0.72,6.9,26.02,12.21
1983,36.26,37.89,31.94,5.83,3.06,0.03,0.07,0,0,0.18,7.6,3.91
1984,20.47,6.99,30.09,6.51,0.14,0.01,0.1,0,0,8.75,10.17,12.2
1985,7.72,43,21.62,9.76,6.02,0.01,0.07,0,0.02,6.42,4.08,24.17
1986,9.75,24.32,4.8,15.87,9.7,0.08,0.07,0,0.13,8.57,48.75,11.28
1987,12.41,12.3,27.94,0.33,0.42,0.16,0.07,0.43,0,16.4,1.65,27.31
1988,40.07,43.85,30.75,13.23,0.62,0.02,0.07,0,0,5.71,5.38,42.96
1989,22.24,20.37,16.36,1.71,0.12,0.25,0.07,0,0,1.97,10.97,8.28
1990,23.48,19.38,28.9,15.78,0.83,0.01,0.07,0,0,7.81,2.65,4.67
1991,38.14,13.92,44.38,3.67,1.48,0.01,0.08,0,0.22,4.18,13.68,39.26
1992,34.64,41.63,10.61,4.78,7.26,1.2,0.07,0,0.02,0.17,13.6,30.65
1993,19.91,18.62,10.61,3.44,11.15,0.04,0.07,0,0.01,9.21,6.82,23.39
1994,37.98,19.92,20.82,1.52,2.09,0.11,0.07,0,0.05,10.8,48.01,22.62
1995,2.79,25.71,14.17,9.93,2.17,0.07,0.07,0,0.02,0.34,12.29,7.08
1996,35.09,10,22.63,4.35,0.75,0.01,0.07,0,0.06,4.23,16.29,11.57
1997,31.42,25.57,23.45,4.06,5.44,0.2,0.07,0,0.15,12.46,13.75,16.83
1998,25.31,20.08,29.56,4.37,6.3,0.01,0.07,0,0.05,0.38,1.5,4.33
1999,12.06,34.93,10.74,2.88,0.02,0.02,0.07,0,0.03,0.97,1.38,3.25
2000,35.2,7.35,15.39,1.17,0.05,0.02,0.07,0,0.03,11.08,5.11,20.69
2001,18.77,20.73,8.26,16.43,6.97,0.02,0.07,0.01,0,2.24,11.74,18.54
2002,36.29,15.89,14.05,10.11,2.42,0.02,0.07,0,0.03,4.78,17.1,24.91
2003,19.96,37.46,27.52,5.8,0.47,0.03,0.07,0,0,0.75,7.43,33.81
2004,28.31,23.75,8.3,2.51,1.96,0.02,0.07,0.01,0.02,1.42,13.08,15.9
2005,16.92,17.44,15.3,10.03,2.67,0.16,0.07,0.01,0.06,4.45,10,11.08
2006,18.01,24.1,1.59,23.66,0.04,0.02,0.07,0.01,0,10,3.76,13.31
2007,17.75,24.81,14.23,12.7,8.98,0.03,0.07,0,0,0.49,9.37,6.03
2008,38.23,11.74,0.97,0.28,1.28,0.02,0.07,0,0.22,6.24,2.75,8.43
2009,3.21,27.27,12.24,1.52,2.11,0.04,0.07,0,0.15,7.14,10.02,13.64
2010,31.72,36.79,9.33,3.64,0.89,0.03,0.07,0,0.01,1.3,1.31,20.28
2011,19.34,28.41,14.74,18.73,3.01,0.1,0.07,0,0.33,0.86,14.2,7.15
2012,24.05,18.84,19.87,0.51,1.13,0.03,0.07,0,0.11,3.24,23.75,9.94
2013,44.35,20.24,0.7,6.7,5.01,0.02,0.07,0.06,0.15,0.71,10.47,29.3
2014,17.32,8.22,28.68,0.15,15.37,0.02,0.07,0,0.16,6.49,20.93,21.32
